x;trig_branch
-0.905000000000000;9233.163763988796000
-0.500000000000000;-1123.394434776448000
-1.571000000000000;196202627130618640000000000000000000000000000.000000000000000
-1.200000000000000;215287.074168810970000
-2.356000000000000;99.938374213961380
-2.000000000000000;35834.848903690730000
-3.142000000000000;-54743650595348180000.000000000000000
-2.800000000000000;-158.702444766667400
-4.712000000000000;83310170947748240000000000000000000000000.000000000000000
-4.000000000000000;-83.760842059095030
-5.378000000000000;132582.876072098680000
-5.000000000000000;2515267.027136779000000
-5.498000000000000;-587.335320459807700
-6.000000000000000;-37858.009961041535000
-6.283000000000000;-719087256240125600000000000000.000000000000000
-7.035000000000000;-332.961956845722170
-7.000000000000000;-340.221646730281750
-6.900000000000000;-462.952601248229400
-7.200000000000000;25.723313596860750
-7.100000000000000;-358.408099209004260
-6.950000000000000;-378.602923749694750
-11.830000000000000;-518.161286219041100
-11.700000000000000;-1802.422499703622400
-13.318000000000000;-332.962462256256340
-13.283000000000000;-340.299604068691050
-13.183000000000000;-463.383173848577600
-13.383000000000000;-358.253110283936500
-13.233000000000000;-378.817849541702740
-13.483000000000000;30.857954329466110
-13.509000000000000;-162.561679095435300
-13.546000000000000;-3.083360483998490
-19.566000000000000;-340.377995388018900
-19.601000000000000;-332.963363936300100
-19.516000000000000;-379.033386798980100
-19.466000000000000;-463.814796607807860
-19.766000000000000;36.159721497511214
-19.666000000000000;-358.098710987035360
-0.100000000000000;-113972918.735142750000000
-0.050000000000000;-27098492460.815945000000000
-0.010000000000000;-10103124629597650.000000000000000
-0.005000000000000;-2572998542203047000.000000000000000
-0.001000000000000;-1001003086822939000000000.000000000000000
-0.000100000000000;-100010003083675600000000000000000.000000000000000
