x;trig_branch
-7.271170000000000;84.923401620567570
-7.263150000000000;-0.011936977751816
-7.225940000000000;-162.563853038277160
-7.201030000000000;-0.087894809364002
-7.198260000000000;81.366920923462540
-7.259540000000000;-31.232174052700998
-7.202900000000000;-37.500549627481800
-7.035140000000000;-332.961837764971340
-7.174500000000000;-650.587663176185200
-6.832400000000000;-716.190865678299100
-5.550760000000000;-517.851391767806600
-5.649800000000000;-691.426909205114500
-5.472900000000000;-701.498517332001900
-4.289410000000000;49.621553948475140
-4.288490000000000;0.112047496083960
-4.285760000000000;-132.354635782694900
-4.248480000000000;-720.688196972611400
-4.160000000000000;-343.282669426573650
-3.801800000000000;-43.231591349270170
-3.454700000000000;-500.060932373435100
-2.883000000000000;-782.539024115086200
-2.567960000000000;-0.000741925677332
-2.244600000000000;399.940202184418700
