x;ln;log2;log3
0.058540000000000;-2.838044997718397;-4.094433444028061;-2.583299883855358
0.066410000000000;-2.711907631429515;-3.912455691212296;-2.468484705115820
0.095550000000000;-2.348105608295855;-3.387600316571993;-2.137337832933358
0.001000000000000;-6.907755278982137;-9.965784284662087;-6.287709822868153
0.005000000000000;-5.298317366548036;-7.643856189774724;-4.822736302150226
0.010000000000000;-4.605170185988091;-6.643856189774724;-4.191806548578769
0.020000000000000;-3.912023005428146;-5.643856189774724;-3.560876795007312
0.050000000000000;-2.995732273553991;-4.321928094887363;-2.726833027860842
0.070000000000000;-2.659260036932778;-3.836501267717121;-2.420562799417346
0.100000000000000;-2.302585092994046;-3.321928094887362;-2.095903274289384
0.150000000000000;-1.897119984885881;-2.736965594166206;-1.726833027860842
0.200000000000000;-1.609437912434100;-2.321928094887362;-1.464973520717927
0.300000000000000;-1.203972804325936;-1.736965594166206;-1.095903274289385
0.400000000000000;-0.916290731874155;-1.321928094887362;-0.834043767146470
0.500000000000000;-0.693147180559945;-1.000000000000000;-0.630929753571457
0.600000000000000;-0.510825623765991;-0.736965594166206;-0.464973520717927
0.700000000000000;-0.356674943938732;-0.514573172829758;-0.324659525127962
0.800000000000000;-0.223143551314210;-0.321928094887362;-0.203114013575012
0.900000000000000;-0.105360515657826;-0.152003093445050;-0.095903274289385
0.950000000000000;-0.051293294387551;-0.074000581443777;-0.046689168614467
0.990000000000000;-0.010050335853501;-0.014499569695115;-0.009148209934631
0.999000000000000;-0.001000500333584;-0.001443416869669;-0.000910694649881
1.001000000000000;0.000999500333083;0.001441974173906;0.000909784410199
1.010000000000000;0.009950330853168;0.014355292977070;0.009057181460469
1.050000000000000;0.048790164169432;0.070389327891398;0.044410721300580
1.100000000000000;0.095310179804325;0.137503523749935;0.086755064354754
1.200000000000000;0.182321556793955;0.263034405833794;0.165956232853530
1.300000000000000;0.262364264467491;0.378511623253730;0.238814245183408
1.400000000000000;0.336472236621213;0.485426827170242;0.306270228443495
1.500000000000000;0.405465108108164;0.584962500721156;0.369070246428543
1.600000000000000;0.470003629245736;0.678071905112638;0.427815739996445
1.700000000000000;0.530628251062170;0.765534746362977;0.482998648873181
1.800000000000000;0.587786664902119;0.847996906554950;0.535026479282073
1.900000000000000;0.641853886172395;0.925999418556223;0.584240584956991
2.000000000000000;0.693147180559945;1.000000000000000;0.630929753571457
1.600060000000000;0.470041128542628;0.678126005162302;0.427849873327448
2.200000000000000;0.788457360364270;1.137503523749935;0.717684817926211
2.500000000000000;0.916290731874155;1.321928094887362;0.834043767146470
2.700000000000000;0.993251773010283;1.432959407276106;0.904096725710615
3.000000000000000;1.098612288668110;1.584962500721156;1.000000000000000
3.500000000000000;1.252762968495368;1.807354922057604;1.140313995589965
4.000000000000000;1.386294361119891;2.000000000000000;1.261859507142915
4.500000000000000;1.504077396776274;2.169925001442313;1.369070246428543
5.000000000000000;1.609437912434100;2.321928094887362;1.464973520717927
6.000000000000000;1.791759469228055;2.584962500721156;1.630929753571457
7.000000000000000;1.945910149055313;2.807354922057604;1.771243749161422
8.000000000000000;2.079441541679836;3.000000000000000;1.892789260714372
9.000000000000000;2.197224577336220;3.169925001442313;2.000000000000000
10.000000000000000;2.302585092994046;3.321928094887363;2.095903274289385
15.000000000000000;2.708050201102210;3.906890595608519;2.464973520717927
20.000000000000000;2.995732273553991;4.321928094887363;2.726833027860842
30.000000000000000;3.401197381662156;4.906890595608519;3.095903274289384
50.000000000000000;3.912023005428146;5.643856189774724;3.560876795007312
70.000000000000000;4.248495242049359;6.129283016944967;3.867147023450807
100.000000000000000;4.605170185988092;6.643856189774725;4.191806548578770
