x;log_branch
0.140500000000000;-6.013198352389654
0.058540000000000;-9.402755866504815
0.066410000000000;-8.914404956818716
0.095550000000000;-7.505916305358542
0.664059000000000;-0.000001499002491
0.001000000000000;-25.158964962089760
0.005000000000000;-18.927897263875390
0.010000000000000;-16.244322474486120
0.020000000000000;-13.560747685096857
0.050000000000000;-10.013254776271750
0.070000000000000;-8.710575580784468
0.100000000000000;-7.329679986882483
0.150000000000000;-5.759889367209087
0.200000000000000;-4.646105197493216
0.300000000000000;-3.076314577819822
0.400000000000000;-1.962530408103951
0.500000000000000;-1.098612288668110
0.600000000000000;-0.392739788430556
0.700000000000000;0.204066906819171
0.800000000000000;0.721044381285315
0.900000000000000;1.177050831242840
0.950000000000000;1.386376405958490
0.990000000000000;1.546051821030353
0.999000000000000;1.581088983599134
1.001000000000000;1.588832146261202
1.010000000000000;1.623486003048718
1.050000000000000;1.773857526492567
1.100000000000000;1.953963490508670
1.200000000000000;2.290835000958710
1.300000000000000;2.600726750375674
1.400000000000000;2.887641696208437
1.500000000000000;3.154753120394552
1.600000000000000;3.404619170674582
1.700000000000000;3.639332246462348
1.800000000000000;3.860625620632106
1.900000000000000;4.069951195347755
2.000000000000000;4.268537290110422
1.600060000000000;3.404764352203964
2.200000000000000;4.637538279897936
2.500000000000000;5.132455409546264
2.700000000000000;5.430416240305502
3.000000000000000;5.838327909783818
3.500000000000000;6.435134605033545
4.000000000000000;6.952112079499688
4.500000000000000;7.408118529457214
5.000000000000000;7.816030198935528
6.000000000000000;8.521902699173085
7.000000000000000;9.118709394422812
8.000000000000000;9.635686868888955
9.000000000000000;10.091693318846480
10.000000000000000;10.499604988324796
15.000000000000000;12.069395607998190
20.000000000000000;13.183179777714063
30.000000000000000;14.752970397387460
50.000000000000000;16.730672686539170
70.000000000000000;18.033351882026455
100.000000000000000;19.414247475928434
